t_s,rx_pkts,rx_bps,rx_udp_pkts,rx_udp_bps,tx_pkts,tx_bps,tx_udp_pkts,tx_udp_bps,rx_tcp_pkts,rx_tcp_bps,rx_icmp_pkts,rx_icmp_bps,tx_qdrop_pkts,tx_qdrop_bps
1.000,3,2736.000,0,0.000,751,2586528.000,115,126480.000,0,0.000,0,0.000,0,0.000
2.000,0,0.000,0,0.000,825,3541936.000,208,98816.000,0,0.000,0,0.000,0,0.000
3.000,0,0.000,0,0.000,822,2943216.000,357,121072.000,0,0.000,0,0.000,0,0.000
4.000,0,0.000,0,0.000,829,3555896.000,447,118064.000,0,0.000,0,0.000,0,0.000
5.000,1,888.000,0,0.000,823,3138168.000,555,103224.000,0,0.000,0,0.000,0,0.000
6.000,0,0.000,0,0.000,824,3075568.000,661,99456.000,0,0.000,0,0.000,0,0.000
7.000,0,0.000,0,0.000,822,3645600.000,726,82576.000,0,0.000,0,0.000,0,0.000
8.000,0,0.000,0,0.000,822,3107984.000,866,138608.000,0,0.000,0,0.000,0,0.000
9.000,0,0.000,0,0.000,822,3021256.000,1007,168416.000,0,0.000,0,0.000,0,0.000
10.000,1,888.000,0,0.000,830,2934496.000,1130,126312.000,0,0.000,0,0.000,0,0.000
11.000,0,0.000,0,0.000,823,3233640.000,1233,103056.000,0,0.000,0,0.000,0,0.000
12.000,0,0.000,0,0.000,824,3627888.000,1333,110856.000,0,0.000,0,0.000,0,0.000
13.000,0,0.000,0,0.000,822,2695912.000,1497,151240.000,0,0.000,0,0.000,0,0.000
14.000,0,0.000,0,0.000,822,3173136.000,1596,140216.000,0,0.000,0,0.000,0,0.000
15.000,0,0.000,0,0.000,671,2311584.000,1736,183304.000,0,0.000,0,0.000,0,0.000
16.000,0,0.000,0,0.000,643,1950792.000,1868,128752.000,0,0.000,0,0.000,0,0.000
17.000,0,0.000,0,0.000,644,2697984.000,1938,70600.000,0,0.000,0,0.000,0,0.000
18.000,0,0.000,0,0.000,643,2170344.000,2030,106896.000,0,0.000,0,0.000,0,0.000
19.000,0,0.000,0,0.000,643,2875680.000,2131,83104.000,0,0.000,0,0.000,0,0.000
20.000,0,0.000,0,0.000,645,2603568.000,2181,57856.000,0,0.000,0,0.000,0,0.000
21.000,0,0.000,0,0.000,645,2249536.000,2261,108128.000,0,0.000,0,0.000,0,0.000
22.000,0,0.000,0,0.000,645,3053736.000,2350,80680.000,0,0.000,0,0.000,0,0.000
23.000,0,0.000,0,0.000,643,2316288.000,2415,71552.000,0,0.000,0,0.000,0,0.000
24.000,0,0.000,0,0.000,643,1956192.000,2529,108080.000,0,0.000,0,0.000,0,0.000
25.000,0,0.000,0,0.000,643,3470336.000,2579,46880.000,0,0.000,0,0.000,0,0.000
26.000,0,0.000,0,0.000,645,1923696.000,2649,81976.000,0,0.000,0,0.000,0,0.000
27.000,2,1136.000,0,0.000,644,2507040.000,2749,89984.000,2,1136.000,0,0.000,0,0.000
28.000,0,0.000,0,0.000,643,4014416.000,2784,34896.000,0,0.000,0,0.000,0,0.000
29.000,8956,39975680.000,8955,39975120.000,7948,34500736.000,10323,33276208.000,1,560.000,0,0.000,2217,9630904.000
30.000,14148,63156672.000,14148,63156672.000,10717,47716552.000,20579,45506000.000,0,0.000,0,0.000,2692,11873696.000
31.000,13680,61067520.000,13680,61067520.000,11307,50207224.000,31411,48178176.000,0,0.000,0,0.000,3697,16399624.000
32.000,13698,61147872.000,13698,61147872.000,11263,49634600.000,42255,48220840.000,0,0.000,0,0.000,3766,16602968.000
33.000,14109,62982576.000,14109,62982576.000,10855,48497640.000,52679,46292808.000,0,0.000,0,0.000,2968,13036840.000
34.000,13574,60594336.000,13574,60594336.000,11425,50698096.000,63635,48718480.000,0,0.000,0,0.000,2516,11233560.000
35.000,14823,66169872.000,14823,66169872.000,10249,44169416.000,73480,43674872.000,0,0.000,0,0.000,3339,14506640.000
36.000,14055,62741520.000,14055,62741520.000,10798,48383728.000,83874,46140776.000,0,0.000,0,0.000,4136,18481856.000
37.000,14062,62772768.000,14062,62772768.000,10869,48110584.000,94331,46469680.000,0,0.000,0,0.000,3951,17397064.000
38.000,13458,60076512.000,13458,60076512.000,11494,51091760.000,105380,49164456.000,0,0.000,0,0.000,3271,14519608.000
39.000,13798,61594272.000,13798,61594272.000,11057,49917632.000,115965,47170192.000,0,0.000,0,0.000,3465,15528120.000
40.000,12807,57170448.000,12807,57170448.000,12259,53830032.000,127797,52454248.000,0,0.000,0,0.000,3764,16456248.000
41.000,19164,85548096.000,19164,85548096.000,5752,25293248.000,133197,23791656.000,0,0.000,0,0.000,1473,6442376.000
42.000,21141,94369472.000,21140,94368960.000,337,1493144.000,133231,42944.000,0,0.000,0,0.000,0,0.000
43.000,0,0.000,0,0.000,327,895880.000,133286,55464.000,0,0.000,0,0.000,0,0.000
44.000,0,0.000,0,0.000,334,1497400.000,133312,37688.000,0,0.000,0,0.000,0,0.000
45.000,0,0.000,0,0.000,319,1541568.000,133344,34792.000,0,0.000,0,0.000,0,0.000
46.000,0,0.000,0,0.000,341,1069144.000,133407,64232.000,0,0.000,0,0.000,0,0.000
47.000,0,0.000,0,0.000,331,1399336.000,133438,29208.000,0,0.000,0,0.000,0,0.000
48.000,0,0.000,0,0.000,331,1633720.000,133454,17936.000,0,0.000,0,0.000,0,0.000
49.000,0,0.000,0,0.000,333,1016600.000,133532,75776.000,0,0.000,0,0.000,0,0.000
50.000,0,0.000,0,0.000,321,1376136.000,133558,31640.000,0,0.000,0,0.000,0,0.000
51.000,0,0.000,0,0.000,337,1123864.000,133619,58304.000,0,0.000,0,0.000,0,0.000
52.000,0,0.000,0,0.000,337,1230288.000,133674,92224.000,0,0.000,0,0.000,0,0.000
53.000,0,0.000,0,0.000,328,1802632.000,133711,45016.000,0,0.000,0,0.000,0,0.000
54.000,0,0.000,0,0.000,327,1074920.000,133742,36120.000,0,0.000,0,0.000,0,0.000
55.000,0,0.000,0,0.000,324,1027280.000,133808,71792.000,0,0.000,0,0.000,0,0.000
56.000,0,0.000,0,0.000,336,1777128.000,133827,25888.000,0,0.000,0,0.000,0,0.000
57.000,0,0.000,0,0.000,327,891392.000,133885,63544.000,0,0.000,0,0.000,0,0.000
58.000,0,0.000,0,0.000,344,871336.000,133954,77304.000,0,0.000,0,0.000,0,0.000
59.000,0,0.000,0,0.000,335,2031912.000,133966,12824.000,0,0.000,0,0.000,0,0.000
60.000,0,0.000,0,0.000,340,962688.000,134056,135112.000,0,0.000,0,0.000,0,0.000
61.000,0,0.000,0,0.000,321,1180016.000,134105,78080.000,0,0.000,0,0.000,0,0.000
62.000,0,0.000,0,0.000,324,899240.000,134142,54632.000,0,0.000,0,0.000,0,0.000
63.000,0,0.000,0,0.000,324,1021024.000,134197,51704.000,0,0.000,0,0.000,0,0.000
64.000,0,0.000,0,0.000,325,1656064.000,134222,29032.000,0,0.000,0,0.000,0,0.000
65.000,0,0.000,0,0.000,328,781944.000,134280,51064.000,0,0.000,0,0.000,0,0.000
66.000,0,0.000,0,0.000,324,1204264.000,134333,51584.000,0,0.000,0,0.000,0,0.000
67.000,0,0.000,0,0.000,337,1402536.000,134363,31056.000,0,0.000,0,0.000,0,0.000
68.000,0,0.000,0,0.000,328,904456.000,134437,98544.000,0,0.000,0,0.000,0,0.000
69.000,0,0.000,0,0.000,335,1239688.000,134508,176432.000,0,0.000,0,0.000,0,0.000
70.000,0,0.000,0,0.000,329,1883520.000,134532,54944.000,0,0.000,0,0.000,0,0.000
71.000,0,0.000,0,0.000,329,803096.000,134631,268704.000,0,0.000,0,0.000,0,0.000
72.000,0,0.000,0,0.000,327,1200856.000,134718,123560.000,0,0.000,0,0.000,0,0.000
73.000,0,0.000,0,0.000,328,1813472.000,134742,28344.000,0,0.000,0,0.000,0,0.000
74.000,3,1776.000,0,0.000,363,1471024.000,134781,44920.000,0,0.000,0,0.000,0,0.000
75.000,0,0.000,0,0.000,333,883648.000,134841,61696.000,0,0.000,0,0.000,0,0.000
76.000,0,0.000,0,0.000,331,1719760.000,134872,47824.000,0,0.000,0,0.000,0,0.000
77.000,0,0.000,0,0.000,322,1262176.000,134919,63592.000,0,0.000,0,0.000,0,0.000
78.000,0,0.000,0,0.000,334,954208.000,135002,104048.000,0,0.000,0,0.000,0,0.000
79.000,0,0.000,0,0.000,334,1434328.000,135054,39952.000,0,0.000,0,0.000,0,0.000
80.000,0,0.000,0,0.000,331,1012272.000,135098,50984.000,0,0.000,0,0.000,0,0.000
81.000,0,0.000,0,0.000,341,1254448.000,135157,49488.000,0,0.000,0,0.000,0,0.000
82.000,0,0.000,0,0.000,340,1670280.000,135196,43344.000,0,0.000,0,0.000,0,0.000
83.000,0,0.000,0,0.000,343,470640.000,135276,118696.000,0,0.000,0,0.000,0,0.000
