t_s,rx_pkts,rx_bps,rx_udp_pkts,rx_udp_bps,tx_pkts,tx_bps,tx_udp_pkts,tx_udp_bps,rx_tcp_pkts,rx_tcp_bps,rx_icmp_pkts,rx_icmp_bps,tx_qdrop_pkts,tx_qdrop_bps
1.000,750,2585616.000,115,126480.000,3,2736.000,0,0.000,608,2431496.000,17,18520.000,0,0.000
2.000,824,3541024.000,93,98816.000,1,912.000,0,0.000,708,3416832.000,21,23552.000,0,0.000
3.000,821,2942304.000,149,121072.000,0,0.000,0,0.000,660,2804160.000,12,17072.000,0,0.000
4.000,830,3556808.000,90,118064.000,0,0.000,0,0.000,723,3396096.000,10,13680.000,0,0.000
5.000,823,3138168.000,108,103224.000,1,888.000,0,0.000,708,3025368.000,5,7800.000,0,0.000
6.000,824,3075568.000,106,99456.000,0,0.000,0,0.000,713,2972600.000,4,2624.000,0,0.000
7.000,822,3645600.000,65,82576.000,0,0.000,0,0.000,748,3555744.000,9,7280.000,0,0.000
8.000,822,3107984.000,140,138608.000,0,0.000,0,0.000,680,2967256.000,2,2120.000,0,0.000
9.000,822,3021256.000,141,168416.000,0,0.000,0,0.000,671,2842192.000,9,10136.000,0,0.000
10.000,830,2934496.000,123,126312.000,1,888.000,0,0.000,686,2772408.000,12,16784.000,0,0.000
11.000,822,3232752.000,103,103056.000,1,888.000,0,0.000,705,3112448.000,14,17248.000,0,0.000
12.000,824,3627888.000,100,110856.000,0,0.000,0,0.000,701,3479184.000,21,24696.000,0,0.000
13.000,822,2695912.000,164,151240.000,0,0.000,0,0.000,635,2518248.000,23,26424.000,0,0.000
14.000,822,3173136.000,99,140216.000,0,0.000,0,0.000,714,3022616.000,9,10304.000,0,0.000
15.000,671,2311584.000,140,183304.000,0,0.000,0,0.000,519,2098792.000,9,15824.000,0,0.000
16.000,643,1950792.000,132,128752.000,0,0.000,0,0.000,506,1816840.000,4,4688.000,0,0.000
17.000,644,2697984.000,70,70600.000,0,0.000,0,0.000,573,2626792.000,1,592.000,0,0.000
18.000,643,2170344.000,92,106896.000,0,0.000,0,0.000,549,2061976.000,2,1472.000,0,0.000
19.000,643,2875680.000,101,83104.000,0,0.000,0,0.000,541,2792064.000,1,512.000,0,0.000
20.000,645,2603568.000,50,57856.000,0,0.000,0,0.000,592,2531648.000,1,912.000,0,0.000
21.000,645,2249536.000,80,108128.000,0,0.000,0,0.000,563,2128256.000,0,0.000,0,0.000
22.000,645,3053736.000,89,80680.000,0,0.000,0,0.000,553,2971440.000,1,592.000,0,0.000
23.000,643,2316288.000,65,71552.000,0,0.000,0,0.000,576,2243552.000,2,1184.000,0,0.000
24.000,643,1956192.000,114,108080.000,0,0.000,0,0.000,521,1841744.000,8,6368.000,0,0.000
25.000,643,3470336.000,50,46880.000,0,0.000,0,0.000,591,3421824.000,2,1632.000,0,0.000
26.000,645,1923696.000,70,81976.000,0,0.000,0,0.000,564,1817080.000,9,11488.000,0,0.000
27.000,644,2507040.000,100,89984.000,0,0.000,0,0.000,541,2415472.000,1,560.000,0,0.000
28.000,643,4014416.000,35,34896.000,0,0.000,0,0.000,607,3979008.000,1,512.000,0,0.000
29.000,16848,74075400.000,16401,72794768.000,0,0.000,0,0.000,444,1266568.000,1,912.000,0,0.000
30.000,24778,110409632.000,24280,108096336.000,0,0.000,0,0.000,497,2312736.000,1,560.000,0,0.000
31.000,24922,110897624.000,24413,108791136.000,0,0.000,0,0.000,506,2092424.000,1,912.000,0,0.000
32.000,24882,110377984.000,24418,108782056.000,0,0.000,0,0.000,463,1595112.000,1,816.000,0,0.000
33.000,24847,110890016.000,24366,108479784.000,0,0.000,0,0.000,478,2408264.000,3,1968.000,0,0.000
34.000,24841,110634760.000,24320,108367216.000,0,0.000,0,0.000,515,2263896.000,4,2624.000,0,0.000
35.000,25014,109937544.000,24548,109301488.000,0,0.000,0,0.000,457,629640.000,9,6416.000,0,0.000
36.000,24749,110719744.000,24295,108159824.000,0,0.000,0,0.000,454,2559920.000,0,0.000,0,0.000
37.000,24932,110814608.000,24471,108996368.000,0,0.000,0,0.000,459,1814384.000,2,3856.000,0,0.000
38.000,24818,110565312.000,24320,108384288.000,0,0.000,0,0.000,483,2147240.000,15,33784.000,0,0.000
39.000,24738,111073048.000,24216,108004808.000,0,0.000,0,0.000,517,3065024.000,3,2192.000,0,0.000
40.000,25008,110553712.000,24551,109201560.000,0,0.000,0,0.000,444,1338104.000,11,13024.000,0,0.000
